,State,Population,Case Density,ICU Capacity Ratio,Initiated Vaccinations,Completed Vaccinations,Total Number of Cases,Death Toll,Positive Tests,Negative Tests,Positive Case Rate,Hospital Beds Capacity,Hospital Beds Current Usage,Hospital Beds COVID Usage,ICU Beds Capacity,ICU Beds Current Usage,ICU Beds COVID Usage,Last Update Date
0,AK,731545,107.4,0.85,0.588,0.522,132393,680,150919,2910137,4.930292029939994,1623.0,1242.0,234.0,133.0,113.0,48.0,2021-10-23
1,AL,4903185,17.4,0.85,0.539,0.443,816087,15378,772285,5193274,12.945727298984052,14798.0,11406.0,799.0,1580.0,1349.0,207.0,2021-10-23
2,AR,3017804,16.8,0.83,0.575,0.475,509559,8255,316362,3364799,8.594082138760028,9274.0,6793.0,523.0,946.0,786.0,164.0,2021-10-23
3,AZ,7278717,30.8,0.65,0.608,0.526,1143855,20826,1167486,9512191,10.931847470667886,17265.0,13053.0,1703.0,2174.0,1423.0,429.0,2021-10-23
4,CA,39512223,14.0,0.77,0.738,0.607,4867059,71504,4838152,80836787,5.647102941036235,65001.0,51185.0,4006.0,7044.0,5391.0,964.0,2021-10-23
5,CO,5758736,37.9,0.87,0.671,0.61,724074,8202,719187,9941186,6.7463586874493044,11880.0,8775.0,1260.0,1301.0,1136.0,370.0,2021-10-23
6,CT,3565287,12.4,0.58,0.782,0.702,399402,8739,524381,10609271,4.709874172463806,8463.0,7007.0,246.0,1024.0,595.0,69.0,2021-10-23
7,DC,705749,12.4,0.8,0.733,0.619,63588,1186,91389,2832372,3.1257342853947363,3493.0,2821.0,91.0,343.0,274.0,17.0,2021-10-23
8,DE,973764,34.3,0.84,0.684,0.594,141717,2045,159696,2506996,5.988543108840466,3383.0,2677.0,195.0,199.0,168.0,25.0,2021-10-23
9,FL,21477737,9.7,0.77,0.686,0.592,3631256,58803,4286562,36998340,10.382880405044924,58079.0,46015.0,2525.0,6451.0,4999.0,622.0,2021-10-23
10,GA,10617423,13.2,0.85,0.564,0.476,1589477,27513,1228739,10425513,10.543267813326844,23058.0,18847.0,1926.0,2616.0,2222.0,520.0,2021-10-23
11,HI,1415872,8.4,0.76,0.782,0.594,80399,880,89314,2370245,3.6313013837033385,2627.0,1982.0,93.0,211.0,160.0,21.0,2021-10-23
12,IA,3155070,31.0,0.82,0.592,0.552,476713,6848,472056,3975981,10.612681504223099,7529.0,5447.0,568.0,618.0,504.0,138.0,2021-10-23
13,ID,1787065,65.6,0.91,0.485,0.432,284346,3404,364620,1928247,15.90236154124945,3892.0,2616.0,578.0,315.0,286.0,154.0,2021-10-23
14,IL,12671821,17.0,0.7,0.696,0.544,1686159,28414,1621048,26385923,5.788016133554749,31339.0,23305.0,1707.0,3282.0,2286.0,366.0,2021-10-23
15,IN,6732219,24.1,0.75,0.533,0.495,1010827,16470,1078798,9700888,10.007694101664928,19311.0,13088.0,1419.0,2287.0,1722.0,426.0,2021-10-23
16,KS,2913314,27.8,0.79,0.617,0.527,429760,6238,393377,3668832,9.683819813308473,8412.0,5398.0,447.0,792.0,628.0,131.0,2021-10-23
17,KY,4467673,33.0,0.86,0.624,0.543,739785,9663,723980,5731008,11.215822554588792,11860.0,9248.0,1106.0,1449.0,1240.0,269.0,2021-10-23
